basin_id,date,twsa,sm,rain,rain_def,twsa_z,sm_z,rain_z,rain_def_z,asi,class
1050026220,2019-01-01,0.0592778737728409,0.1497911929836392,0.0011352941023356,,-0.92247515582751,-0.7537878841306809,-0.6986277987743422,0.6986277987743422,-0.810230775738145,watch
1050026220,2019-02-01,-0.7410602392731138,0.1493140043934764,0.0008780447154037377,,-0.9872251751130383,-0.7582191584139923,-0.6998483089748145,0.6998483089748145,-0.8381473952057753,watch
1050026220,2019-03-01,-4.546888009532467,0.1489466478323986,0.0006918230873315287,,-1.2951293190052116,-0.7616305092205033,-0.7007318306007413,0.7007318306007413,-0.9628502974104343,watch
1050026220,2019-04-01,-7.426771605407799,0.1488233597759397,0.0016185404791206,,-1.5281214948536423,-0.7627753882165402,-0.6963350542152905,0.6963350542152905,-1.0556257640711313,alert
1050026220,2019-05-01,-6.990474602678321,0.1488107525881015,0.0065679277863972,,-1.492823614019958,-0.7628924612321234,-0.6728528692170439,0.6728528692170439,-1.0368570039442415,alert
1050026220,2019-06-01,2.312474095068135,0.1535579000837837,0.070015997959096,,-0.7401840760890989,-0.7188094444744799,-0.3718258472689748,0.3718258472689748,-0.6579625776792266,watch
1050026220,2019-07-01,14.43236291015541,0.3249403691837049,0.2873784534504841,,0.24035530061093188,0.8726844503686672,0.6594422824281698,-0.6594422824281698,0.5771043568774736,normal
1050026220,2019-08-01,25.99667766068008,0.398331160852666,0.4806117453624358,,1.1759468848610204,1.5542068808265828,1.576230488076482,-1.576230488076482,1.4073076038903378,normal
1050026220,2019-09-01,26.602498127863957,0.4189409950666764,0.3926533335734835,,1.2249597786546604,1.7455941650546059,1.1589150569839308,-1.1589150569839308,1.4200045888804929,normal
1050026220,2019-10-01,18.77882689696092,0.3583003228022997,0.1482701207720465,,0.5919987152902862,1.1824720429682918,-0.0005520562549627184,0.0005520562549627184,0.7096778920524387,normal
1050026220,2019-11-01,10.73128546463264,0.2052670404965565,0.0090284994675528,,-0.059074193084906655,-0.23862741823389283,-0.6611787778939836,0.6611787778939836,-0.2513164001063165,normal
1050026220,2019-12-01,6.852949476504064,0.152709996625936,0.0013003509306432,,-0.372844493328829,-0.7266832555105097,-0.6978446927579985,0.6978446927579985,-0.5793800380873352,watch
1050026220,2020-01-01,3.7445328943022007,0.1498676381091318,0.000545792331031897,,-0.62432574901841,-0.7530779985096429,-0.7014246681222301,0.7014246681222301,-0.6912464326356672,watch
1050026220,2020-02-01,-3.4226188161870934,0.149325272397539,0.0008338322345387775,,-1.2041721963034238,-0.7581145213424942,-0.7000580734548293,0.7000580734548293,-0.9249263017493331,watch
1050026220,2020-03-01,-5.515135019690126,0.1486978922465239,0.0006742777058407584,,-1.37346372737452,-0.763940506259914,-0.700815074014209,0.700815074014209,-0.9951247082566155,watch
1050026220,2020-04-01,-4.7937519144225895,0.1481177158762164,0.0013559968016734,,-1.3151014312187634,-0.7693281468752348,-0.6975806829812736,0.6975806829812736,-0.973287967833854,watch
1050026220,2020-05-01,-3.4082948703032265,0.1477008735811388,0.006152099995334,,-1.2030133413681072,-0.7731990326852742,-0.6748257487899968,0.6748257487899968,-0.925450099379352,watch
1050026220,2020-06-01,8.47607629115765,0.212677304933076,0.1269547810856377,,-0.24152812735983378,-0.16981413370233348,-0.10168189692854226,0.10168189692854226,-0.18487328381057536,normal
1050026220,2020-07-01,22.633145500015427,0.3856283556398879,0.4928561910864476,,0.9038259290793912,1.4362459420579199,1.634323807883868,-1.634323807883868,1.262893510031698,normal
1050026220,2020-08-01,34.065520100541164,0.4211421025270236,0.5148112805002616,,1.828743115699642,1.766034114971501,1.7384889174743536,-1.7384889174743536,1.785608675763328,normal
1050026220,2020-09-01,34.24999151649056,0.4280116294129226,0.6928259369860708,,1.8436674677274285,1.829825996117728,2.5830728702907755,-2.5830728702907755,1.9860119595962178,normal
1050026220,2020-10-01,22.3960448883392,0.3512364894833237,0.1726619810452876,,0.8846436998085422,1.1168757911440435,0.11517422254030084,-0.11517422254030084,0.8236426408890944,normal
1050026220,2020-11-01,12.99713360084282,0.184255898866237,0.0055247454991547,,0.12424046871386649,-0.43374132809851357,-0.6778022089908596,0.6778022089908596,-0.2593607855520308,normal
1050026220,2020-12-01,8.779172296052451,0.1507522057346891,9.792176980444352e-05,,-0.21700665094580468,-0.7448637162493639,-0.703549573432944,0.703549573432944,-0.5254580615646562,watch
1050026220,2021-01-01,6.05175786620968,0.1496497060553695,0.00011275050860079646,,-0.43766356338476936,-0.7551017617035966,-0.7034792190302496,0.7034792190302496,-0.6178019738413963,watch
1050026220,2021-02-01,1.4850668176844883,0.1492939997859407,0.0005314398375591194,,-0.8071240809374014,-0.7584049254351408,-0.7014927629966035,0.7014927629966035,-0.7665101551483376,watch
1050026220,2021-03-01,-2.872837836925799,0.1488835426229449,0.00024283438626001924,,-1.159693083751225,-0.7622165175567459,-0.7028620408845845,0.7028620408845845,-0.9093362487001053,watch
1050026220,2021-04-01,-3.201935371199808,0.148341571838593,0.00017730035103945496,,-1.1863181705035766,-0.7672493730116203,-0.7031729646905409,0.7031729646905409,-0.922061610344187,watch
1050026220,2021-05-01,1.630152034235525,0.1477366934942852,0.0046950071515031,,-0.7953862036370544,-0.7728664013876524,-0.6817388718887194,0.6817388718887194,-0.7636488163876267,watch
1050026220,2021-06-01,5.086960996245289,0.1995270138223057,0.0971863774846081,,-0.5157188439199656,-0.29193052126586544,-0.242916986660586,0.242916986660586,-0.3716431434064496,normal
